text,label
"934 8616
i got a missed call from yo bitch",1
RT @KINGTUNCHI_: Fucking with a bad bitch you gone need some money lil homie!,1
"RT @eanahS__: @1inkkofrosess lol my credit ain't no where near good , but I know the right man for the job .. that ho nice though!",0
RT @Maxin_Betha Wipe the cum out of them faggot RT @80sbaby4life Contact lens is wildin can't see shit,1
Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.,1
"Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy, and my sister to not be a bitch.",1
"That's real dedication. .. &#171;@arigold_88 This bitch got diarrhea and still here, shitting up the bathroom.&#187;",1
"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch.",1
My momma keep talking to me like bitch gtf I'm on Twitter.,1
RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now,1
like a bitch pic is flirting nowadays,1
@Nien_Nunb what did you search? Gay redneck episode 1 play?,1
"Halloween's over, and bitches still playing roles.",1
fucking queer,1
"Why bitches quick to have a nigga baby, then be suprised when she taking care of it by herself?",1
I stopped snapping on women and calling them bitches.,1
"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy",1
"Idgaf about you flat chested hoes feelings either, you a grown ass man nigga.",1
So yall give farwells to Lulu yet did all but shit on Kris? Ok bitches... ok,1
@StunningStina their tortillas are trash though.,0
"RT @_sheswatsPOPPIN: js met a lil bitch wit a long name mufucka had more letters den Tennessee, I go gorilla ina pussy, RIP&#128527;",1
i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol,1
"RT @JeffDuncan_: JSU coach Omar Johnson: ""It's what u do against the ball. U throw it, hit it, catch it. Doesn't matter if the Yankees are &#8230;",0
"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB",1
2 or 3 hoes for everything &#128527;&#128520;&#128526;,1
"If I had hair, I would seriously go for a perm now. Genetics is a stone cold bitch.",1
Ima start friend zoning these hoes &#128514;&#128514;&#128514;,1
RT @bdha: http://t.co/zPrnmY7kQR What a shit heel.,1
This bitch pregnant again &#128064;&#128514;&#128514;,1
RT @davegetnmoney: We don't want no skinny bitches get out! WE WANT BIG BOOTY BITCHES!,1
RT @VibeLord: your opinion of me is highly irrelevant bitch,1
RT @BigSean: Suck my dick bitch RT @MaizeNBlue23: @bigsean not only are you terrible. You are why hip hop is dead,1
RT @rebellious_midy: Ugly bitches definitely disguste me &#128534; ewww yuck!,1
This hoe taken by the world smh,1
RT @CauseWereGuys: How to get unlimited pussy in high school http://t.co/0yaDezrREr,1
"RT @lovexlilyy: don't play games with a girl who can play better, bitch.",1
I'm just tryna get to sleep before the birds start getting rowdy.,0
Kiss imik this bitch just added another 50 seconds to her story I think its a new record.,1
Inde jus got me all hype at work!! I knew my bitch Candace ain't die,1
@panchoftf red and yellow it should be then,0
"I, for one, welcome our new Eastern Panhandle overlords, and hope they do a better job than the yokels who got us here in the first place.",0
@ronsonsolaqa I love you too pussy.... Lmaooo,1
@DrunkAtChurch @MzYummyDread Slide up on a bad bitch/Dat bitch look good,1
@strawberrycoca ling ling krunkchip,0
@saucygyro she's a dyke &amp; looks like she's 12,1
RT @dnumberbefore_2: She used to be more fun as a hoe ..this new you is to positive,1
"RT @YUNGRAJEE: No nigga ever ask before he hit either &#8220;@jaybeeTRENDz: Body counts don't matter ! YALL treat all bitches the same anyway, st&#8230;",1
"&#8220;@AshlynWynns: I'm a ""mud shark"" because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @",0
Shylock &amp; Wongs: 3 Incidents of Democrat Bigotry In 3 Weeks - Media Mum http://t.co/rX8ynPg1Yd via @BreitbartNews,0
Smile at the bitches who hate you.,1
See niggas they be mad and all these hoes go &#128584;,1
@kieffer_jason bitch wtf r u talking about and why tf r u still talking shit but not doing no action no thank for proving my point pussy boy,1
RT @Teamadeezy: Niggas is hoes 2,1
@rellyOnSMASH @LiveAndUncut my bitch do all that and still go out,1
@allsportsbruh you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded,1
&#8220;@Condeezy3: What to do after the game....home alone and nothing to do...someone come chill?:) maybe go swimm&#8221; ima do ya bitch,1
I be chillin wit the bitches cuz a lotta niccas fake,1
fuck her rite in the pussy,1
RT @Chayeezy: When a bitch got you fucked up but you devoted your life to the Lord so you gotta stand there like you aint mad http://t.co/7&#8230;,1
RT @corey_emanuel: &#128557;&#128557;&#128557;&#128557; RT @ivyleague1908: SHAT!!!!!! RT @DirtRoadDon: When Deltas smell they own pussy http://t.co/3LojKQM8ZG,1
RT @RickRaze: Why would I be in a relationship theses hoes go still do them &#128514;&#128175;,1
"Damn ""@JonnieSantana: It's kinda trash man RT ""@80sbaby4life: How many of you actually have had a threesome. Honestly""""",1
@Benny_Balboa not to yall thou! Yalll fucking glad bag trash,1
@kieffer_jason @someone yea it's very true bitch,1
"everybody fuckin everybody bitch everybody wit the shits, thats lifee",1
@BradMich4Real thats shit gon be the death of these hoes...ion like it...,1
"RT @murrman5: ""Hun, I'm quitting my job and going to learn to become a psychic. Now I know what you're thinking, well not yet. I'm going to&#8230;",0
Thursdays really been trash this season @nfl,0
RT @letsargueboxing: @staycoolwheels screaming like a little bitch lmaooo,1
@Alan_Casillas haha shit niggah i wish,1
Nah we still up. RT @Tweets_NOchill: All the flat booty bitches asleep yet or Nah?,1
Get these hoe ass fuckboys off the stage. #VMAs,1
@josephljenkins Have heard some hillbilly grumblings that bugs worse in recent years because of MIC shutdown.,0
RT @RihannaHasAids: aight game over. dykes had to ruin it http://t.co/o0CAn6gb1p,1
@seansteiger31 yea cause I showed ya bitch ass,1
Seeing elder queer couples marry really is emotional. They get to live their final years with equality and with dignity.,1
"RT @Yankees: Gardy goes yardy again! He leads off the game with a HR for the second straight night, and it's 1-0 #Yankees!",0
"KaasPiet,bloemPiet.?lol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet maken.Zolang maar blanke beslissing is",0
RT @LettyBro_: Yall hoes super weakkkkkkkk,1
you ain't a real nigga without goal a to chase and a yellow bone bitch w/ some toes to paint,1
"RT @WolfpackAlan: Oreos: First you twist it, then you- aw crap, it broke.",1
You know what fuck that bitch and you didnt react? girl it's me and you,1
"Not ""us bitches"" &#128514;&#128514;&#128514;&#128514;&#128514;",1
Them hoes look so clean on foot.,1
RT @ATL_PRiNCeSS: A real bitch know she gotta pluck dat nipple hair,1
"RT @NikoWavy: A lot of bitches like to gamble, but not with money. They put their emotions, feelings and heart on the line.",1
"http://t.co/4YyVxESnUR

The far left looks the best if you ask me, bitches try too hard. Just be yourself, especially if you're thick",1
@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol,1
"RT @WhatTheFFacts: Actor Charlie Sheen once bought 2,600 seats at an Angels baseball game in hopes of catching a home run ball.",0
RT @JayOnDatAss: All these girls saying nobody can put em up with em. Dont no nigga want a bitch as a girlfriend fix that shit,1
"Out of day care, I'm taking a kitty nap on you hosers.",0
niggas ain't playin a gram of defense man George need to tell these bitch ass niggas man up,1
@_MckenzieNoel miss you bitch,1
@slayerific13 @daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.,0
@ParhamBryce @lllexiss @lukejohnson06 @laurenbeckkkk1 alright then we'll in calling you a pussy also,1
RT @jaaayLENo: Dese hoes aint loyal @ Wal-Mart #TeamIgnant #hoodcomedy #flytv #LOLATL &#128514;&#128514;&#128514;&#128514; bruh https://t.co/3nKvBpR9qr,1
What mad cunt created masturbating? That dude needs a high 5...,1
These hoes worried bout the wrong things in life,1
FF has been consistently one of Marvel's worst properties. Ultimate FF was good; but the entire Ultimate universe is now in the trash.,0
RT @nateturnboy: You left prom camping first day cause you're a bitch boy.,1
@CallNeeshCakey I can't bitch,1
Maybe I shoulda informed my cousin of my social anxiety before taking me to this over crowded bar. On the bright side Texas has hott bitches,1
Nobody on planet Earth more protective than bull dykes,1
"RT @TheVibeKing: I didn't go wrong when I started talking to you, I went wrong when I trusted your bitch ass",1
@kieffer_jason I heard your mama raised you like bitch,1
God damn birds,1
@alexrojas_10 yo fag Rojas,1
RT @CanIFuckOrNah: i'm a bitch but a sweetheart u feel me,1
I just want the bad hoes and I wanna reach the children,1
Nigga you is a fool &#128553; &#8220;@BOSSMANRAN: I feel like eatin nd beatin a pussy up &#128553;&#8221;,1
@tyracountryman nah gurl this pussy private &#128581;,1
I hate ratchet country hoes I'm ashamed,1
"@The_Red_Sea @shetheTRUTHtho bitch, yo muthafukin ass reacting off that vain females' tweet &amp; dont no the context, her dumb ass dont neither",1
@jonnnycashh #pussy,1
@mjs79 @ChingonAbe well he is at Genos. So he is the ultimate faggot,1
RT @_elennamichelle: @erykahminor_ miss ya too nigger &#128539;&#128536;&#128536;&#128536;&#128536;&#128525;,1
That hoe beefing over tunchi chillllll ouutttt,1
Bout to put me some hoes on backpage .. Try my pimp hand out! &#128526;&#128075;&#128162;,1
I just wanna slap a couple of y'all bitches,1
"RT @TheOnlyReed: Sooner or later ya pussy gon tell
Me the truth, let's hope it's not while I'm in it, cause Ima kill u",1
The fuck does a yellow cloud do?,1
@iSkypeYourMomz @TrapGod3sss And I really be thuggin wtf I look like hanging around some lil chipotle Jamba Juice ass bitches&#8221; like &#128686;&#128686; &#128557;&#128514;&#128557;&#128514;,1
In-N-Out is like the sunshine and blue sky. The song of a bird. A smile at the front porch. The perfume of the ocean on wind-kissed cheeks.,0
Life is a bitch.... but I appreciate her mayne.,1
"@san_sim lol Avila... It's simple, but I live in a pretty redneck area.. So it never gets pronounced correctly",1
@thejokerxo porn stars are 100% acceptable bro. Im was talking about these air mattress hoes....lol,1
"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",0
"All these afternoon groups are trash besides the Bubba, Keegs and Furyk group #TheMemorialTournament",0
"Notice I didn't tweet ""bytches"".... Bytch is different from bitch.... My logic... And it WERKS...",1
"@The__Sweetest no shit you are, what euros would call a typical American, fat as fuck and goes to eat fast food all the time, dumb bitch.",1
Only the strong survive and that nigga a pussy,1
@thisisricklol sexy bitch,1
RT @The_Paradox: FAGGOT RT @80sbaby4life: I was in the club and there was this good lookin bitch. ..she had gold teeth tho. I was confused &#8230;,1
Wish I coulda said more to @EmmaleeeParkerr tonight. Good seeing you fag. &#128540;,1
I got these 5 dominican hoes that randomly hit me up every so often &amp; can't tell if they like me or tryna rob me.,1
@slayerific13 @brenda_skelton @daisymcgarr I don't hunt birds unless you count shooting dove out of season off my power line with a bb gun,0
"RT @NandaGorgeous: RT if you like 
BMTH
ADTR
PTV
YMAS
SWS
ATL
OM&amp;M
AA
MIW
BTF
WCAR
MCR
AFI
PE
BVB
WIM
BC
SS
CTE
NSN
GD
WATIC
AA!
BFMV
FOB
F&#8230;",0
"@CreoleBabyBritt Don't make me draw you like one of my Franch bitches, heffa.",1
Alcohol....drunk hoe &#171;@Mr__Rude i miss...&#187;,1
"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri",1
"me: *complains about suburban white girls*
suburban white girl: you're a bitch
me: ok u literally just proved my point",1
"RT @TheDouch3: Bitches tweeting ""relationship goals"" w/no man, job, or real desire to stop being a hoe or partying every weekend. Jus a iPh&#8230;",1
@negrorayrice @FuckTheMallcops I'll continue dis later. I'll be back bitch.,1
Paper over pussy cause pussy Bring problems #PoweroftheP,1
RT @ThatSlutAdrian: i'll be that bitch today,1
I hate when white trash try to act like they're my equal. It only makes it that much clearer how white trash they are.,1
&#8220;@SexReIationship: Who else thinks lip biting is fucking sexy?&#8221;@MaiaPapayyya_ until that bitch bite too hard put a hoe out once for that,1
I remember when Milz drunk ass fell asleep while we where all playing Gears smh. What a fag,1
RT @maNIJEEtwa_: Jackie weird .. like bitch hang with ppl ya age&#128514;,1
RT @dirtyskimask: Lmaooo Friday After Next? &#8220;@1stName_Bravo: You like that yo son's a fag?&#8221;,1
@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber get these hoes wet big bro I'm Tryna tell you,1
no lie tho i'm weak for a pretty bitch. have me doing all type of shit that ain't really me.,1
All I want is a 100 million dollars and a bad bitch,1
Milk Marie she got pretty pussy call it pink cause a nigga fell in love with it.,1
Nah. ITS OVER&gt; People don't tell #artists what do to. That's defies the definition of what WE ARE TRYING TO SHOW #youpeople. #retards #game7,0
@JuiciStrawberry Kik is for hoes.You either gone shit or get off the pot.,1
@FlightYung that's what I call a crash dummy hoe,1
RT @_prettygirl92: bitches jus love to get me madd,1
It's gonna be a long season for the Yankees if this simulation is right #BlueJays #Rays #Yankees #Orioles&#8230; http://t.co/Zc3k9NDB1T,0
RT @slllick_: Trey Songz reply to Nicki Minaj &gt;&gt;&gt;&gt; ... That nigga spoke the truth on looking ass bitches lmao ... I knew someone was gonna &#8230;,1
@Swishas_Erbs No bitch Linda over KOD,1
RT @driswitdacake: bitches fwu when they wanna .. ha na bitch not over here,1
Since you hoes wanna be childish &#128514;&#128514;&#128514; http://t.co/P6v3xPXnrZ,1
"Virtually zero protections for LGBTQ persons in Alabama. Not a lot of acceptance, either. Think about queer Alabamian kids today?",0
The world is yours n every bitch in it,1
RT @Harmssy: RT @StrangeKeith: &#8220;@QuannDaDon: Word RT @TAN1AAA: Having zero hoes &gt;&gt;&gt;&gt;&#8221;,1
"RT @10thAmendment: Jihadi Killed #BrendanTevlin In N.J. W/ At Least 2 Others,Part Of Terrorist Ring 10 Yrs Ago http://t.co/qZtXJv9x8J http&#8230;",0
@SeanRossSapp Don't think anyone is mocking the man. I've seen people mock the bespectacle of social media mourning. Cultural zeitgeist of,0
"@desamador you gotta be like me n the twins, just chug it all before everyone",0
RT @lovindadrew: I don't know a bitch in the world that claim they too busy for a nigga they really fuck with.,1
I be using these fufu bitches &#128514;&#128514;,1
"People calling and complaining to Spinellis because of our Purge special.
Lmao pussies. #LouisvillePurge",1
RT @SpacePlankton: Saw a man in a yellow hat at the Grand Canyon today. He was hanging out next to a curious gorge.,0
@ThankYouAriana no one asked bitch,1
&#8220;@_chelousmuch_: bitch im weakkk vic &#128514;&#128514;&#128514;&#8221;&#128514;&#128514;,1
RT @DevyDevBlack: Yung Berg trying to fuck all these hoes.,1
I swear these hoes *aint got nothing on you * &#9996;&#65039;&#128522;&#128591;,1
RT @Tierrraaaaa: no sex bitch I only want the neck bitch .,1
RT @WeLoveKi: Hol on bitch &#128553;&#128514;&#128557; https://t.co/RYESvYaI2u,1
"""bitch freak my shit""",1
@DoeMostDope @mattrbennett209 @JohnnieGoings ha booner has that twitter @boone_boone5356 ha,0
RT @Seinfeld2000: Uncle leo find iWatch in trash can http://t.co/T7GCSMCYLB,0
LeBron bout to cry lil bitch,1
@geokthree I literally just told @Black_SinS to his face how trash he is at the shop in hooping,0
@X_XPDOTJDOT she remembers the dick lol and wants it again. I recommend you shoot a bitch if she show up. She might snap,1
@JennaHord12 Nooo Amber's supposed to kill me fag,1
RT @TorahBlaze: @1SonofYahweh hell yea! I don't know what's wrong w the brothas that love these cave hoes so damn much... #StopItNow,1
When you colored every day is Sunday,0
Dark skinned girls with blonde hair need to stop it. The only bitch that can rock that is Dijonay from The Proud Family.,1
She a hoe cause your boyfriend want her? she scary cause she dont talk shit like y'all? she ugly cause you don't like her? GROW UP!,1
I wish everyone I knew wasn't a faggot a try hard or a sketchball,1
@aaliyahhhm I knowww righttt. I don't even know how to use this shit. How I update my status on this hoe?,1
RT @haztv: Stop forcing ya kids to take these pictures u trying to trap niggas online wit u funky hoes,1
I'm retarded hungover and all we had were beers. A lot of beers.,1
RT @Yansii_: This bitch don went super saiyan 5 at walmart http://t.co/xkF59toVcK,1
"' Y'all like sayin money don't buy happiness , but name a niggah sitting in a Lambo crying ?",1
@CapoDaAssHole wiz had a warrant like a bitch,1
Allergies ain't bothered me all summer now all of a sudden in the middle of august shit is startin to get real. Ain't that about a bitch,1
It aint nuffin to cut that bitch off!!!!,1
&#8220;@salsteelo: I got 1 felony!!!&#8221; I got bitches,1
@Chink_19 shut up chink.!!!,1
RT @_2kkz: This faggit bitch tried to say she hoe'd for hd bearfaced bitch yusa fag,1
RT @WhiteBoyCeezy: these hoes too familiar,1
#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,1
RT @TittyFlex: So they both was selling pussy and doing dirt together and they fell out so they putting each other on blast even though the&#8230;,1
Son of a bitch,1
"RT @Rockprincess818: Go fight against the IDF if you progressive trash hate them so much, you don't have the guts to do it. 
#IStandWithIsr&#8230;",0
well ain't that a bitch,1
@Juicy_james01 ain't no love 4 these hoes,1
RT @KiiingJaay_: I'm about my commas bitch period,1
"""LMFAOOOOOOOOOOOOOOOOOO @bb_brooks: If your pussy is good but my mama don&#8217;t like you? Guess who gotta go&#8230;&#8230;&#8230;..my mama.""",1
"300 bitch we hot, we done took flight !",1
RT @AmPowerBlog: @velvethammer Parent in Phoenix Says Administrators Made Her Son Wear Pink Fairy Wings on First Day of High School http://&#8230;,0
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",1
"RT @WBeezy_: ""@I_DontKIAra: my pussy dry 24/7 &#128530;"" http://t.co/yPvNTYdU28",1
"RT @babyyhogg: Ayy fag , you still having your party tonight ?! @weidie1211 &#127867;&#127867;&#128540;",1
&#8220;@CiscoAllDay: If you have a different dude every other week you might be a hoe... #js&#8221;no your not don't listen to him ladies #DoU,1
Everybody got foreign bitches and foreign cars &#128564;&#128564;,1
@Coley_Cee yes bitch I do realize dat,1
"@HobsonDarlene #BlessJesus Amos 3:3 Can two walk together, unless they are agreed? #DifferentLevels",0
"RT @OfficiallyIce: RT @Manatti23: ""I fucked your bitch cause she gave me a boner, she went down twice like Adrien Broner..."" #FreckBars",1
This bitch tweets been on point the few minutes I been on.,1
"@JPantsdotcom @Todd__Kincannon @the__realtony I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there.",1
"@BryanStars ATL, BVB, SWS, PTV, THE RELAPSE SYMPHONY, SET IT OFF, FAREWELL, MY LOVE, MAYDAY PARADE, FOB, PARAMORE, etc",0
RT @CrooklynxDodger: When @MeechIsDEAD said &#8220;Fast bitch I call her Bizzy (busy) cause she only bone thugs&#8221; http://t.co/qs9XUeu1VA,1
"RT @KevinHart2ReaI: All Bow Wow hoes on the stage, lol",1
Yea bitch &#128514; how dat shit feel http://t.co/C7H0TfJDET,1
Charlie is so adorable. http://t.co/TMpBYyjGFL,0
@WorIdStarFvnny @alysssa_3 bitch please http://t.co/2QysCT5INk,1
"So the Flash pops is the Dawson pops. 

I think he mighta actually killed the mom. 

Cuz Gail was a lying, cheating bitch.",1
This foo came to the club wit his bitch on a leash &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; https://t.co/wC4ub0UN6b,1
Ion know why this bitch insists on telling me where she be going now. Idgaf about chu bitch like damn.,1
RT @lonernigga: School is so pointless. I'm just trying to pass the class and get out this bitch,1
@B_McC10ud that's meant toward my dads gf shes a bitch dude,1
Unlike some of yall boring ass bitches lol,1
@PennyTheGOAT right in the pussy,1
Old lady went to pay and reached all the way over my plate. Hate eating on bar countertops. Stupid white bitch.,1
RT @OhArias: I make the pussy cringe http://t.co/LNB2UXXQem,1
RT @bankheist: you're a retard @ShawnaCarr99,1
"RT @UnicornCowboy: @UglyNi99ah pepsi and cheerios
smashin on these hoes
got me blue in the taco
bae thinks of me flaco
errybody frontin
jus&#8230;",1
@Huntermoore fuck my throbbing pussy slowly,1
@xsotoxevelynx haha yuhhh did I hit that hoe or what,1
just got done biking with my dyke,1
@JimNorton Hey Jim you'll love this http://www.wwtdd.com/2010/05/gabourey-sidibe-is-a-complete-bitch/,1
@reneeXOmarie yeah she didnt wana bring that pussy to us or tell us where he was so we could just go find one Mexican in this city full,1
"RT @SimplyPerfectt_: Girls, don't let a guy treat you like a yellow starburst. You are a pink starburst.",0
I wonder where all these bitches I got at ?,1
RT @_tiffnasty: Why do y'all niggas entertain that Nicole bitch? I don't see how y'all can ever take a bitch that posted naked pics serious&#8230;,1
